Version,Level,n (per block),Total Blocks
1,L / M / Q / H,7 / 10 / 13 / 17,1 / 1 / 1 / 1
2,L / M / Q / H,10 / 16 / 22 / 28,1 / 1 / 1 / 1
3,L / M / Q / H,15 / 26 / 18 / 22,1 / 1 / 2 / 2
4,L / M / Q / H,20 / 18 / 26 / 16,1 / 2 / 2 / 4
5,L / M / Q / H,26 / 24 / 18 / 22,1 / 2 / 4 / 4
6,L / M / Q / H,18 / 16 / 24 / 28,2 / 4 / 4 / 4
7,L / M / Q / H,20 / 18 / 18 / 26,2 / 4 / 6 / 5
8,L / M / Q / H,24 / 22 / 22 / 26,2 / 4 / 6 / 6
9,L / M / Q / H,30 / 22 / 20 / 24,2 / 5 / 8 / 8
10,L / M / Q / H,18 / 26 / 24 / 28,4 / 5 / 8 / 8
11,L / M / Q / H,20 / 30 / 28 / 24,4 / 5 / 8 / 11
12,L / M / Q / H,24 / 22 / 26 / 28,4 / 8 / 10 / 11
13,L / M / Q / H,26 / 22 / 24 / 22,4 / 9 / 12 / 16
14,L / M / Q / H,30 / 24 / 20 / 24,4 / 9 / 16 / 16
15,L / M / Q / H,22 / 24 / 30 / 24,6 / 10 / 12 / 18
16,L / M / Q / H,24 / 28 / 24 / 30,6 / 10 / 17 / 16
17,L / M / Q / H,28 / 28 / 28 / 28,6 / 11 / 16 / 19
18,L / M / Q / H,30 / 26 / 28 / 28,6 / 13 / 18 / 21
19,L / M / Q / H,28 / 26 / 26 / 26,7 / 14 / 21 / 25
20,L / M / Q / H,28 / 26 / 30 / 28,8 / 16 / 20 / 25
21,L / M / Q / H,28 / 26 / 28 / 30,8 / 17 / 23 / 25
22,L / M / Q / H,28 / 28 / 30 / 24,9 / 17 / 23 / 34
23,L / M / Q / H,30 / 28 / 30 / 30,9 / 18 / 25 / 30
24,L / M / Q / H,30 / 28 / 30 / 30,10 / 20 / 27 / 32
25,L / M / Q / H,26 / 28 / 30 / 30,12 / 21 / 29 / 35
26,L / M / Q / H,28 / 28 / 28 / 30,12 / 23 / 34 / 37
27,L / M / Q / H,30 / 28 / 30 / 30,12 / 25 / 34 / 40
28,L / M / Q / H,30 / 28 / 30 / 30,13 / 26 / 35 / 42
29,L / M / Q / H,30 / 28 / 30 / 30,14 / 28 / 38 / 45
30,L / M / Q / H,30 / 28 / 30 / 30,15 / 29 / 40 / 48
31,L / M / Q / H,30 / 28 / 30 / 30,16 / 31 / 43 / 51
32,L / M / Q / H,30 / 28 / 30 / 30,17 / 33 / 45 / 54
33,L / M / Q / H,30 / 28 / 30 / 30,18 / 35 / 48 / 57
34,L / M / Q / H,30 / 28 / 30 / 30,19 / 37 / 51 / 60
35,L / M / Q / H,30 / 28 / 30 / 30,19 / 38 / 53 / 63
36,L / M / Q / H,30 / 28 / 30 / 30,20 / 40 / 56 / 66
37,L / M / Q / H,30 / 28 / 30 / 30,21 / 43 / 59 / 70
38,L / M / Q / H,30 / 28 / 30 / 30,22 / 45 / 62 / 74
39,L / M / Q / H,30 / 28 / 30 / 30,24 / 47 / 65 / 77
40,L / M / Q / H,30 / 28 / 30 / 30,25 / 50 / 68 / 81